de
que
a
e
o
harry
não
para
um
se
uma
os
com
do
em
ele
da
disse
é
no
rony
na
você
mas
por
as
mais
estava
como
quando
eu
era
à
ao
muito
foi
hagrid
está
dos
coisa
hermione
sua
me
seu
eles
ela
bem
das
cabeça
olhos
isso
até
dumbledore
tinha
vez
perguntou
ter
sem
então
vai
só
ser
agora
snape
porta
potter
já
pelo
weasley
parecia
dois
fazer
vocês
nada
lockhart
voz
depois
dizer
todos
lhe
vamos
nunca
havia
alguma
seus
aqui
tão
pela
nem
dele
draco
fora
lado
nos
quase
estavam
mesmo
ainda
sala
tem
ver
grifinória
tempo
ah
quem
casa
tinham
porque
meu
sobre
onde
enquanto
grande
varinha
hogwarts
escola
duda
malfoy
tudo
antes
viu
senhor
sabe
outra
também
rosto
profa
ou
alunos
tio
todo
volta
deu
chão
lá
mione
válter
mão
cima
vou
dia
alto
dobby
neville
respondeu
melhor
ficou
alguém
dursley
depressa
fred
cara
fez
três
ninguém
hora
noite
frente
pode
riddle
acho
dentro
minha
sonserina
nas
sempre
carro
bom
jorge
gina
estar
aos
estou
falar
outro
olhar
sei
isto
pessoas
madame
pedra
filch
às
cada
ano
tivesse
quirrell
prof
ia
percy
lugar
saiu
meio
pouco
mesa
gritou
exclamou
talvez
tentando
começou
claro
direção
suas
quadribol
ar
falou
primeiro
fazendo
câmara
ali
dar
olhou
atrás
livros
toda
corredor
podia
ficar
num
assim
repente
garoto
vassoura
poderia
sabia
coisas
mundo
tenho
são
trouxas
nós
professor
boca
capa
chapéu
bruxo
estão
minerva
sido
embora
entre
vão
quero
cabelos
deles
vezes
aula
outros
contra
quanto
tia
gente
foram
eram
ouviu
mãos
teve
ir
cama
certeza
diário
petúnia
há
saber
hoje
menos
qualquer
magia
correndo
aí
pai
nome
pessoa
bruxos
teria
deve
passar
fosse
primeira
livro
mal
trás
seguinte
finalmente
abriu
duas
castelo
entrar
olhando
anos
parede
queria
caminho
mim
pelos
vida
numa
devia
temos
vestes
quer
tentou
realmente
aquela
logo
janela
segundo
carta
mcgonagall
voltar
nariz
será
sorriso
murta
força
família
espelho
sair
nenhum
time
uns
acha
bateu
parou
aquele
instante
tanto
sentiu
momento
menino
novo
tenha
manhã
minutos
conseguiu
pensar
floresta
quarto
posso
este
deixou
durante
salão
cobra
braço
voldemort
professora
passou
rua
cinco
goyle
pontos
sangue
mãe
seguida
alta
demais
essa
contar
luz
pés
silêncio
algum
quatro
pirraça
tom
seria
verdade
entrou
coruja
garotos
enorme
pé
apenas
caiu
murmurou
andar
olívio
secreta
sou
ouviram
continuou
estivesse
deixar
fazia
wood
favor
rúbeo
aconteceu
dando
baixo
todas
ouvir
encontrar
fogo
tarde
ideia
pensou
capítulo
crabbe
professores
atenção
escada
diante
banheiro
dela
desde
alguns
dez
corpo
mesma
chegar
disso
continuava
velho
pelas
naquele
slytherin
teto
difícil
história
poder
fim
nick
falando
pudesse
escuro
sim
chegou
parte
trem
pena
puxou
voltou
quê
pareceu
horas
costas
virou
maior
poção
olhe
amigos
armário
levantou
pernas
razão
seja
jogo
feitiço
feito
dizendo
modo
muita
tirou
canino
granger
dragão
cheio
boa
pareciam
ergueu
óculos
vira
balaço
trevas
cair
entrada
desapareceu
tornou
perto
esse
última
preciso
grandes
conseguia
jeito
ponta
achou
parar
nosso
colin
trasgo
saíram
biblioteca
caso
contou
certo
pomfrey
parecendo
esperando
levou
comprar
meia
comunal
poções
natal
aranhas
sob
matar
exatamente
medo
palavras
bruxas
campo
umas
cartas
lareira
ombro
sorte
mulher
longe
pensando
paredes
expressão
justino
aulas
mamãe
testa
qual
correu
andando
vista
vassouras
caldeirão
feitiços
tentar
entraram
forte
cadeira
ficaram
procurando
agarrou
dedos
homem
